Player
Harry Clarke
Silvi Clúa
Conor Coady
Marcus Coco
Saúl Coco
Séamus Coleman
Nathan Collins
Nnamdi Collins
Toby Collyer
Levi Colwill
Kingsley Coman
Santi Comesaña
Pietro Comuzzo
Alois Confais
Copete
Diego Coppola
Francis Coquelin
Iker Córdoba
Derek Cornelius
Maxwel Cornet
Pierre Cornud
Thierry Correia
Alberto costa
Danny da Costa
Logan Costa
Samu Costa
Vladimír Coufal
Lassana Coulibaly
Mamadou Coulibaly
Soumaïla Coulibaly
Woyo Coulibaly
Aaron Cresswell
Charlie Cresswell
Bryan Cristante
Domen Črnigoj
Juan Cruz Armada
Pau Cubarsí
Cucho
Marc Cucurella
Jorge Cuenca
Patrick Cutrone
Tomáš Čvančara
Wylan Cyprien
Danilo D'Ambrosio
Lucas Da Cunha
Mahmoud Dahoud
Ameen Al-Dakhil
Thijs Dallinga
Diogo Dalot
Maat Daniel Caprini
Flavius Daniliuc
Arnaut Danjuma
Jayden Danns
Kévin Danois
Kevin Danso
Dante
Mohamed Daramy
Bence Dárdai
Matteo Darmian
Juan David Cabal
Jonathan David
Alphonso Davies
Ben Davies
Keinan Davis
Leif Davis
Craig Dawson
Bobby De Cordova-Reid
Rodrigo De Paul
Mattia De Sciglio
Lorenzo De Silvestri
Thibault De Smet
Koni De Winter
Amar Dedić
Alessandro Deiola
Romain Del Castillo
Enrico Del Prato
Thomas Delaine
Liam Delap
Andy Delort
Olivier Deman
Ali Dembélé
Ousmane Dembélé
Ermedin Demirović
Sepp van den Berg
Justin Devenny
Giovanni Di Lorenzo
Mouctar Diakhaby
Bafodé Diakité
Oumar Diakité
Moussa Diarra
Rúben Dias
Kandet Diawara
Mahamadou Diawara
Daniel Díaz
Luis Díaz
Pedro Díaz
Diego
Bamba Dieng
Eric Dier
Lucas Digne
Kembo Diliwidi
Sinaly Diomande
Lois Diony
Issa Diop
Sérigné Diop
Andy Diouf
Assane Dioussé
Axel Disasi
Roman Dixon
Álvaro djaló
Nasser Djiga
Berat Djimsiti
Dodô
Danilho Doekhi
Matt Doherty
Benjamín Domínguez
Carlos Dominguez
